Enabled,Enabled
Serial Key,Serial Key
Title,Title
Filtering Rule,Filtering Rule
Postcode Matching,Postcode Matching
Zip Code Max Length,Zip Code Max Length
Calculate using Tax Inclusive Prices,Calculate using Tax Inclusive Prices
Calculate using Discounted Prices,Calculate using Discounted Prices
Calculate using Basic Product Price,Calculate using Basic Product Price
Include Virtual Products in Price Calculation,Include Virtual Products in Price Calculation
Remove Free Product Prices from Shipping Calculation,Remove Free Product Prices from Shipping Calculation
Free Method,Free Method
Free Shipping Display Text,Free Shipping Display Text
Apply Free Shipping to Lowest Price Method,Apply Free Shipping to Lowest Price Method
Use Higher of Weight/Volume,Use Higher of Weight/Volume
Always Use Actual Weight for These Methods,Always Use Actual Weight for These Methods
Packing Weight,Packing Weight
Calculate Handling Fee,Calculate Handling Fee
Handling fee,Handling fee
Displayed Error Message,Displayed Error Message
User Defined Codes,User Defined Codes
Custom Sorting,Custom Sorting
Ship to Applicable Countries,Ship to Applicable Countries
Ship to Specific Countries,Ship to Specific Countries
Show Method if Not Applicable,Show Method if Not Applicable
Sort Order,Sort Order
Import,Import
Export,Export
